seconds,hour,part_of_day
0,0,am
1,0,am
2,0,am
3,0,am
4,0,am
5,0,am
6,0,am
7,0,am
8,0,am
9,0,am
10,0,am
11,0,am
12,0,am
13,0,am
14,0,am
15,0,am
16,0,am
17,0,am
18,0,am
19,0,am
20,0,am
21,0,am
22,0,am
23,0,am
24,0,am
25,0,am
26,0,am
27,0,am
28,0,am
29,0,am
30,0,am
31,0,am
32,0,am
33,0,am
34,0,am
35,0,am
36,0,am
37,0,am
38,0,am
39,0,am
40,0,am
41,0,am
42,0,am
43,0,am
44,0,am
45,0,am
46,0,am
47,0,am
48,0,am
49,0,am
50,0,am
51,0,am
52,0,am
53,0,am
54,0,am
55,0,am
56,0,am
57,0,am
58,0,am
59,0,am
60,0,am
61,0,am
62,0,am
63,0,am
64,0,am
65,0,am
66,0,am
67,0,am
68,0,am
69,0,am
70,0,am
71,0,am
72,0,am
73,0,am
74,0,am
75,0,am
76,0,am
77,0,am
78,0,am
79,0,am
80,0,am
81,0,am
82,0,am
83,0,am
84,0,am
85,0,am
86,0,am
87,0,am
88,0,am
89,0,am
90,0,am
91,0,am
92,0,am
93,0,am
94,0,am
95,0,am
96,0,am
97,0,am
98,0,am
99,0,am
100,0,am
101,0,am
102,0,am
103,0,am
104,0,am
105,0,am
106,0,am
107,0,am
108,0,am
109,0,am
110,0,am
111,0,am
112,0,am
113,0,am
114,0,am
115,0,am
116,0,am
117,0,am
118,0,am
119,0,am
120,0,am
121,0,am
122,0,am
123,0,am
124,0,am
125,0,am
126,0,am
127,0,am
128,0,am
129,0,am
130,0,am
131,0,am
132,0,am
133,0,am
134,0,am
135,0,am
136,0,am
137,0,am
138,0,am
139,0,am
140,0,am
141,0,am
142,0,am
143,0,am
144,0,am
145,0,am
146,0,am
147,0,am
148,0,am
149,0,am
150,0,am
151,0,am
152,0,am
153,0,am
154,0,am
155,0,am
156,0,am
157,0,am
158,0,am
159,0,am
160,0,am
161,0,am
162,0,am
163,0,am
164,0,am
165,0,am
166,0,am
167,0,am
168,0,am
169,0,am
170,0,am
171,0,am
172,0,am
173,0,am
174,0,am
175,0,am
176,0,am
177,0,am
178,0,am
179,0,am
180,0,am
181,0,am
182,0,am
183,0,am
184,0,am
185,0,am
